DateTimePhoto;Code_exp;Code_lieu;Phone;TypeNetwork_Fixed;real_lat;real_lon;photo_lat;photo_lon;distance
2019:09:29 11:00:07;N1E1;HGGA;Experimental;2G;47.04779167;6.874791667;47.048333;6.874444;65.72397482878836
2019:09:29 11:43:26;N1E2;SGAF;Experimental;2G;47.05589444;6.879594444;47.041667;6.884722;1628.972669414795
2019:09:29 11:43:44;N1S2;SGAF;Standard;4G;47.05589444;6.879594444;47.055833;6.879444;13.315582172155858
2019:09:29 11:55:44;N1E3;FAFO;Experimental;2G;47.05625;6.883172222;47.050833;6.876944;765.9007960331815
2019:09:29 11:59:08;N1S3;FAFO;Standard;4G;47.05625;6.883172222;47.056111;6.883333;19.697863829084977
2019:09:29 12:29:08;N1E4;JGAZ;Experimental;2G;47.05073611;6.886836111;47.041667;6.884722;1020.9477736629065
2019:09:29 12:33:55;N1S4;JGAZ;Standard;4G;47.05073611;6.886836111;47.050833;6.886667;16.767201256413333
2019:09:29 13:08:51;N1E5;ARVR;Experimental;2G;None;None;None;None;None
2019:09:29 13:12:39;N1S5;ARVR;Standard;4G;47.03736944;6.874911111;47.0375;6.875;16.00979524930243
2019:09:29 13:54:47;N1E6;BOUD;Experimental;2G;47.02778333;6.887863889;47.029167;6.884444;302.0657353671453
2019:09:29 14:32:02;N1E7;FRBD;Experimental;2G;47.01961111;6.904538889;47.019444;6.905;39.67571366998042
2019:09:29 14:54:38;N1E8;FFBO;Experimental;2G;None;None;None;None;None
2019:09:29 14:59:47;N1S8;FFBO;Standard;4G;47.01455556;6.908419444;47.014722;6.908333;19.63605081870383
2019:09:29 15:15:45;N1S9;CRFO;Standard;4G;47.01142222;6.906258333;47.011389;6.906389;10.600047123541902
2019:09:29 15:16:04;N1E9;CRFO;Experimental;2G;47.01142222;6.906258333;47.0125;6.903056;271.38478403608735
2019:09:29 15:41:27;N1E10;CRCH;Experimental;2G;None;None;None;None;None
2019:09:29 15:41:37;N1S10;CRCH;Standard;4G;47.007325;6.903783333;47.007222;6.903611;17.40293737708903
2019:09:29 16:26:06;N1E11;SPON;Experimental;2G;None;None;None;None;None
2019:09:29 16:26:18;N1S11;SPON;Standard;4G;46.99013056;6.908894444;46.990278;6.908889;16.396231367281988
2019:09:29 16:48:24;N1E12;GORG;Experimental;2G;46.98966944;6.911566667;46.991944;6.911111;255.22899512972543
2019:09:29 16:50:46;N1S12;GORG;Standard;4G;46.98966944;6.911566667;46.989722;6.911667;9.612262200703784
2019:10:16 10:16:28;N2E1;HGGA;Experimental;3G;None;None;None;None;None
2019:10:16 10:24:15;N2S1;HGGA;Standard;4G;47.04779167;6.874791667;47.048056;6.873889;74.62156574222843
2019:10:16 10:48:15;N2E2;SGAF;Experimental;3G;47.05589444;6.879594444;47.043333;6.875278;1434.4778121448373
2019:10:16 10:57:40;N2S2;SGAF;Standard;4G;47.05589444;6.879594444;47.055833;6.879444;13.315582172155858
2019:10:16 11:06:37;N2E3;FAFO;Experimental;3G;47.05625;6.883172222;47.053611;6.881389;323.1559402381571
2019:10:16 11:13:29;N2S3;FAFO;Standard;4G;47.05625;6.883172222;47.056389;6.883333;19.697844438945403
2019:10:16 11:38:39;N2E4;JGAZ;Experimental;3G;47.05073611;6.886836111;47.044722;6.891944;773.0958913595045
2019:10:16 11:42:51;N2S4;JGAZ;Standard;4G;47.05073611;6.886836111;47.050833;6.886944;13.536183586279828
2019:10:16 12:18:09;N2E5;ARVR;Experimental;3G;47.03736944;6.874911111;47.037778;6.875278;53.29678701242247
2019:10:16 12:20:37;N2S5;ARVR;Standard;4G;47.03736944;6.874911111;47.037222;6.875;17.728808786808404
2019:10:16 13:07:42;N2E6;BOUD;Experimental;3G;47.02778333;6.887863889;47.027778;6.887778;6.5558201904511275
2019:10:16 13:10:11;N2S6;BOUD;Standard;4G;47.02778333;6.887863889;47.027778;6.888056;14.615635079806292
2019:10:16 13:44:20;N2E7;FRBD;Experimental;3G;47.01961111;6.904538889;47.017222;6.905833;283.23891884769876
2019:10:16 13:46:53;N2S7;FRBD;Standard;4G;47.01961111;6.904538889;47.019722;6.904444;14.283528641904104
2019:10:16 14:10:23;N2E8;FFBO;Experimental;3G;47.01455556;6.908419444;47.017222;6.905833;355.7318407688046
2019:10:16 14:13:15;N2S8;FFBO;Standard;4G;47.01455556;6.908419444;47.014444;6.908333;14.036295716746812
2019:10:16 14:31:26;N2E9;CRFO;Experimental;3G;47.01142222;6.906258333;47.012222;6.903333;239.55163708136888
2019:10:16 14:37:28;N2S9;CRFO;Standard;4G;47.01142222;6.906258333;47.011389;6.906389;10.600047123541902
2019:10:16 14:49:43;N2E10;CRCH;Experimental;3G;47.007325;6.903783333;47.012222;6.903333;545.4805025470052
2019:10:16 14:52:19;N2S10;CRCH;Standard;4G;47.007325;6.903783333;47.0075;6.903889;21.049067300485422
2019:10:16 15:28:40;N2E11;SPON;Experimental;3G;46.99013056;6.908894444;46.990278;6.911111;169.40800497873622
