DateTimePhoto,Code_exp,Code_Lieu,Phone,TypeNetwork_Fixed,aim_x_dd,aim_y_dd,aim.x,aim.y,point_x_dd,point_y_dd,point.x,point.y,distance_s12,distance_lon_UMT,distance_lat_UMT
2019:09:29 11:00:07,N1E1,HGGA,Experimental,2G,47.04779167,6.874791667,338568.95736,5212767.043,47.048333,6.874444,338544.18355,5212827.916,65.723974829,24.773812192,60.872984417
2019:09:29 11:43:26,N1E2,SGAF,Experimental,2G,47.05589444,6.879594444,338958.16773,5213657.5722,47.041667,6.884722,339304.84374,5212065.9958,1628.9726694,346.67601816,1591.576428
2019:09:29 11:43:44,N1S2,SGAF,Standard,4G,47.05589444,6.879594444,338958.16773,5213657.5722,47.055833,6.879444,338946.55702,5213651.0543,13.315582172,11.610703219,6.51789077
2019:09:29 11:55:44,N1E3,FAFO,Experimental,2G,47.05625,6.883172222,339230.9553,5213689.726,47.050833,6.876944,338741.61401,5213100.5748,765.90079603,489.34128449,589.15118632
2019:09:29 11:59:08,N1S3,FAFO,Standard,4G,47.05625,6.883172222,339230.9553,5213689.726,47.056111,6.883333,339242.74778,5213673.9491,19.697863829,11.792480948,15.776863133
2019:09:29 12:29:08,N1E4,JGAZ,Experimental,2G,47.05073611,6.886836111,339492.6622,5213069.468,47.041667,6.884722,339304.84374,5212065.9958,1020.9477737,187.8184573,1003.4721855
2019:09:29 12:33:55,N1S4,JGAZ,Standard,4G,47.05073611,6.886836111,339492.6622,5213069.468,47.050833,6.886667,339480.10845,5213080.5819,16.767201256,12.553754209,11.113898669
2019:09:29 13:08:51,N1E5,ARVR,Experimental,2G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019:09:29 13:12:39,N1S5,ARVR,Standard,4G,47.03736944,6.874911111,338546.57738,5211608.6202,47.0375,6.875,338553.72446,5211622.9453,16.009795249,7.1470763091,14.325169656
2019:09:29 13:54:47,N1E6,BOUD,Experimental,2G,47.02778333,6.887863889,339501.88393,5210516.7188,47.029167,6.884444,339246.17581,5210677.4978,302.06573537,255.70811888,160.77896151
2019:09:29 14:32:02,N1E7,FRBD,Experimental,2G,47.01961111,6.904538889,340744.64229,5209574.5209,47.019444,6.905,340779.18873,5209555.0128,39.67571367,34.546443298,19.508098902
2019:09:29 14:54:38,N1E8,FFBO,Experimental,2G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019:09:29 14:59:47,N1S8,FFBO,Standard,4G,47.01455556,6.908419444,341024.54613,5209004.8343,47.014722,6.908333,341018.47011,5209023.5055,19.636050819,6.0760182901,18.671225659
2019:09:29 15:15:45,N1S9,CRFO,Standard,4G,47.01142222,6.906258333,340850.9791,5208661.0317,47.011389,6.906389,340860.81231,5208657.0745,10.600047124,9.8332090348,3.9571763454
2019:09:29 15:16:04,N1E9,CRFO,Experimental,2G,47.01142222,6.906258333,340850.9791,5208661.0317,47.0125,6.903056,340610.77944,5208787.3145,271.38478404,240.199663,126.28284623
2019:09:29 15:41:27,N1E10,CRCH,Experimental,2G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019:09:29 15:41:37,N1S10,CRCH,Standard,4G,47.007325,6.903783333,340650.66576,5208210.7613,47.007222,6.903611,340637.25936,5208199.6662,17.402937377,13.406394715,11.095157121
2019:09:29 16:26:06,N1E11,SPON,Experimental,2G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019:09:29 16:26:18,N1S11,SPON,Standard,4G,46.99013056,6.908894444,340988.16524,5206289.64,46.990278,6.908889,340988.18874,5206306.0353,16.396231367,0.023494543682,16.395302799
2019:09:29 16:48:24,N1E12,GORG,Experimental,2G,46.98966944,6.911566667,341189.99387,5206232.9763,46.991944,6.911111,341162.0863,5206486.6606,255.22899513,27.907566061,253.68424982
2019:09:29 16:50:46,N1S12,GORG,Standard,4G,46.98966944,6.911566667,341189.99387,5206232.9763,46.989722,6.911667,341197.77896,5206238.6136,9.6122622007,7.7850932452,5.6372894011
2019:10:16 10:16:28,N2E1,HGGA,Experimental,3G,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2019:10:16 10:24:15,N2S1,HGGA,Standard,4G,47.04779167,6.874791667,338568.95736,5212767.043,47.048056,6.873889,338501.19106,5212798.2795,74.621565742,67.766302046,31.236515978
2019:10:16 10:48:15,N2E2,SGAF,Experimental,3G,47.05589444,6.879594444,338958.16773,5213657.5722,47.043333,6.875278,338592.44417,5212270.5672,1434.4778121,365.72355812,1387.0049966
2019:10:16 10:57:40,N2S2,SGAF,Standard,4G,47.05589444,6.879594444,338958.16773,5213657.5722,47.055833,6.879444,338946.55702,5213651.0543,13.315582172,11.610703219,6.51789077
2019:10:16 11:06:37,N2E3,FAFO,Experimental,3G,47.05625,6.883172222,339230.9553,5213689.726,47.053611,6.881389,339087.58593,5213400.1308,323.15594024,143.36936134,289.59518345
